AT2G45130.1 | Symbols: ATSPX3, SPX3 | SPX domain gene 3 | chr2:18606489-18607754 FORWARD LENGTH=245
AT3G44310.1 | Symbols: NIT1, ATNIT1, NITI | nitrilase 1 | chr3:15986901-15988841 FORWARD LENGTH=346
AT4G29270.1 | Symbols: | HAD superfamily, subfamily IIIB acid phosphatase | chr4:14423797-14424848 REVERSE LENGTH=256
AT5G52040.1 | Symbols: ATRSP41, RS41, At-RS41 | RNA-binding (RRM/RBD/RNP motifs) family protein | chr5:21131081-21133318 FORWARD LENGTH=356
AT3G44320.1 | Symbols: NIT3, AtNIT3 | nitrilase 3 | chr3:15993419-15995493 FORWARD LENGTH=346
AT4G10320.1 | Symbols: | tRNA synthetase class I (I, L, M and V) family protein | chr4:6397526-6404509 REVERSE LENGTH=1190
AT5G02500.1 | Symbols: HSC70-1, HSP70-1, AT-HSC70-1, HSC70 | heat shock cognate protein 70-1 | chr5:554055-556334 REVERSE LENGTH=651
AT2G40660.1 | Symbols: | Nucleic acid-binding, OB-fold-like protein | chr2:16966011-16968866 FORWARD LENGTH=389
AT3G09440.1 | Symbols: | Heat shock protein 70 (Hsp 70) family protein | chr3:2903434-2905632 REVERSE LENGTH=649
AT5G02490.1 | Symbols: | Heat shock protein 70 (Hsp 70) family protein | chr5:550296-552565 REVERSE LENGTH=653
AT2G17630.1 | Symbols: | Pyridoxal phosphate (PLP)-dependent transferases superfamily protein | chr2:7666637-7667905 FORWARD LENGTH=422
AT5G35200.1 | Symbols: | ENTH/ANTH/VHS superfamily protein | chr5:13462463-13465581 REVERSE LENGTH=544
AT3G12580.1 | Symbols: HSP70, ATHSP70 | heat shock protein 70 | chr3:3991487-3993689 REVERSE LENGTH=650
AT5G26710.1 | Symbols: | Glutamyl/glutaminyl-tRNA synthetase, class Ic | chr5:9305673-9308247 FORWARD LENGTH=719
AT3G08590.1 | Symbols: | Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent | chr3:2608683-2611237 REVERSE LENGTH=560
