AT5G52040.1 AT5G52040.1 | Symbols: ATRSP41, RS41, At-RS41 | RNA-binding (RRM/RBD/RNP motifs) family protein | chr5:21131081-21133318 FORWARD LENGTH=356
AT5G20150.1 AT5G20150.1 | Symbols: ATSPX1, SPX1 | SPX domain gene 1 | chr5:6802429-6803367 FORWARD LENGTH=256
AT3G44310.1 AT3G44310.1 | Symbols: NIT1, ATNIT1, NITI | nitrilase 1 | chr3:15986901-15988841 FORWARD LENGTH=346
AT5G64040.1 AT5G64040.1 | Symbols: PSAN | photosystem I reaction center subunit PSI-N, chloroplast, putative / PSI-N, putative (PSAN) | chr5:25628724-25629409 REVERSE LENGTH=171
AT3G03530.1 AT3G03530.1 | Symbols: NPC4 | non-specific phospholipase C4 | chr3:842686-844970 REVERSE LENGTH=538
AT5G02500.1 AT5G02500.1 | Symbols: HSC70-1, HSP70-1, AT-HSC70-1, HSC70 | heat shock cognate protein 70-1 | chr5:554055-556334 REVERSE LENGTH=651
AT3G09440.1 AT3G09440.1 | Symbols: | Heat shock protein 70 (Hsp 70) family protein | chr3:2903434-2905632 REVERSE LENGTH=649
AT2G21660.1 AT2G21660.1 | Symbols: ATGRP7, CCR2, GR-RBP7, GRP7 | cold, circadian rhythm, and rna binding 2 | chr2:9265477-9266316 REVERSE LENGTH=176
AT5G56740.1 AT5G56740.1 | Symbols: HAG2, HAC7, HAG02, HAC07 | histone acetyltransferase of the GNAT family 2 | chr5:22953009-22955577 REVERSE LENGTH=467
AT3G08590.1 AT3G08590.1 | Symbols: | Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent | chr3:2608683-2611237 REVERSE LENGTH=560
AT5G02490.1 AT5G02490.1 | Symbols: | Heat shock protein 70 (Hsp 70) family protein | chr5:550296-552565 REVERSE LENGTH=653
AT4G10320.1 AT4G10320.1 | Symbols: | tRNA synthetase class I (I, L, M and V) family protein | chr4:6397526-6404509 REVERSE LENGTH=1190
AT1G13020.1 AT1G13020.1 | Symbols: EIF4B2 | eukaryotic initiation factor 4B2 | chr1:4440927-4443520 REVERSE LENGTH=549
AT1G29250.1 AT1G29250.1 | Symbols: | Alba DNA/RNA-binding protein | chr1:10223461-10224592 REVERSE LENGTH=130
ATCG00490.1 ATCG00490.1 | Symbols: RBCL | ribulose-bisphosphate carboxylases | chrC:54958-56397 FORWARD LENGTH=479
ATCG00480.1 ATCG00480.1 | Symbols: ATPB, PB | ATP synthase subunit beta | chrC:52660-54156 REVERSE LENGTH=498
AT2G39730.1 AT2G39730.1 | Symbols: RCA | rubisco activase | chr2:16570951-16573345 REVERSE LENGTH=474
AT5G35200.1 AT5G35200.1 | Symbols: | ENTH/ANTH/VHS superfamily protein | chr5:13462463-13465581 REVERSE LENGTH=544
AT4G37800.1 AT4G37800.1 | Symbols: XTH7 | xyloglucan endotransglucosylase/hydrolase 7 | chr4:17775703-17777372 REVERSE LENGTH=293
AT4G39260.1 AT4G39260.1 | Symbols: CCR1, ATGRP8, GR-RBP8, GRP8 | cold, circadian rhythm, and RNA binding 1 | chr4:18274166-18274958 REVERSE LENGTH=169
AT2G42520.1 AT2G42520.1 | Symbols: | P-loop containing nucleoside triphosphate hydrolases superfamily protein | chr2:17705382-17708744 FORWARD LENGTH=633
AT1G49240.1 AT1G49240.1 | Symbols: ACT8 | actin 8 | chr1:18216539-18217947 FORWARD LENGTH=377
AT5G16780.1 AT5G16780.1 | Symbols: DOT2, MDF | SART-1 family | chr5:5517784-5521566 REVERSE LENGTH=820
AT2G17630.1 AT2G17630.1 | Symbols: | Pyridoxal phosphate (PLP)-dependent transferases superfamily protein | chr2:7666637-7667905 FORWARD LENGTH=422
AT3G26060.1 AT3G26060.1 | Symbols: ATPRX Q | Thioredoxin superfamily protein | chr3:9524807-9526123 FORWARD LENGTH=216
AT1G65440.1 AT1G65440.1 | Symbols: GTB1 | global transcription factor group B1 | chr1:24306945-24314327 REVERSE LENGTH=1647
AT3G58510.1 AT3G58510.1 | Symbols: | DEA(D/H)-box RNA helicase family protein | chr3:21640608-21643464 FORWARD LENGTH=612
ATCG00120.1 ATCG00120.1 | Symbols: ATPA | ATP synthase subunit alpha | chrC:9938-11461 REVERSE LENGTH=507
AT3G23600.1 AT3G23600.1 | Symbols: | alpha/beta-Hydrolases superfamily protein | chr3:8473833-8475655 FORWARD LENGTH=239
AT3G15730.1 AT3G15730.1 | Symbols: PLDALPHA1, PLD | phospholipase D alpha 1 | chr3:5330835-5333474 FORWARD LENGTH=810
AT1G07920.1 AT1G07920.1 | Symbols: | GTP binding Elongation factor Tu family protein | chr1:2455559-2457001 FORWARD LENGTH=449
AT5G09810.1 AT5G09810.1 | Symbols: ACT7 | actin 7 | chr5:3052809-3054220 FORWARD LENGTH=377
AT3G44320.1 AT3G44320.1 | Symbols: NIT3, AtNIT3 | nitrilase 3 | chr3:15993419-15995493 FORWARD LENGTH=346
AT4G21280.1 AT4G21280.1 | Symbols: PSBQ, PSBQA, PSBQ-1 | photosystem II subunit QA | chr4:11334446-11335587 FORWARD LENGTH=223
AT4G20360.1 AT4G20360.1 | Symbols: ATRAB8D, ATRABE1B, RABE1b | RAB GTPase homolog E1B | chr4:10990036-10991466 FORWARD LENGTH=476
AT5G06850.1 AT5G06850.1 | Symbols: | C2 calcium/lipid-binding plant phosphoribosyltransferase family protein | chr5:2127200-2129584 REVERSE LENGTH=794
AT1G75750.1 AT1G75750.1 | Symbols: GASA1 | GAST1 protein homolog 1 | chr1:28441813-28442284 REVERSE LENGTH=98
AT4G35785.1 AT4G35785.1 | Symbols: | RNA-binding (RRM/RBD/RNP motifs) family protein | chr4:16953211-16955127 REVERSE LENGTH=238
AT2G40660.1 AT2G40660.1 | Symbols: | Nucleic acid-binding, OB-fold-like protein | chr2:16966011-16968866 FORWARD LENGTH=389
AT5G59950.1 AT5G59950.1 | Symbols: | RNA-binding (RRM/RBD/RNP motifs) family protein | chr5:24140235-24141504 FORWARD LENGTH=244
AT4G35630.1 AT4G35630.1 | Symbols: PSAT | phosphoserine aminotransferase | chr4:16904205-16905497 FORWARD LENGTH=430
AT2G45960.1 AT2G45960.1 | Symbols: PIP1B, TMP-A, ATHH2, PIP1;2 | plasma membrane intrinsic protein 1B | chr2:18910450-18911703 FORWARD LENGTH=286
AT1G64880.1 AT1G64880.1 | Symbols: | Ribosomal protein S5 family protein | chr1:24105713-24108780 FORWARD LENGTH=515
AT5G02530.1 AT5G02530.1 | Symbols: | RNA-binding (RRM/RBD/RNP motifs) family protein | chr5:564332-565776 REVERSE LENGTH=292
AT3G14310.1 AT3G14310.1 | Symbols: ATPME3, PME3 | pectin methylesterase 3 | chr3:4772214-4775095 REVERSE LENGTH=592
AT3G06810.1 AT3G06810.1 | Symbols: IBR3 | acyl-CoA dehydrogenase-related | chr3:2146534-2150654 FORWARD LENGTH=824
AT1G19480.1 AT1G19480.1 | Symbols: | DNA glycosylase superfamily protein | chr1:6744520-6746144 FORWARD LENGTH=382
